"归一化字段","出现次数","原始别名","出现表数","典型来源表","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","是否建议实体化","字段层级建议"
"会议决策人","1","会议决策人","1","风险会风险统计表","Meeting / Decision / Communication","业务事实/描述","会议/领导正式确认","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"会议决策结论","1","会议结论","1","风险会风险统计表","Meeting / Decision / Communication","正式决策事实","会议/领导正式确认","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","不可变Decision事件/版本记录","否","长尾/视图字段"
"会议时间","1","会议时间","1","风险会风险统计表","Meeting / Decision / Communication","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"保护/揭示主题","1","保护/揭示主题","1","检索结果表","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"其他筛选策略","1","其他筛选策略","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"内部名称","1","内部名称","1","专利申请总表","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"内部承办人","1","内部承办人","1","专利申请总表","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"分案续案风险","1","该专利的分案续案风险","1","检索结果表","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"单式检索思路","1","单一检索式思路","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"历史风险标志","1","是否有历史风险","1","检索结果表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"发现时间","1","发现时间","1","项目风险情况","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"基础数据库记录","1","基础数据库记录","1","数据库专利相关性复核表","RelevanceReview","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"处置受阻原因","1","处置受阻原因","1","风险会风险统计表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"复核备注","1","复核备注","1","数据库专利相关性复核表","RelevanceReview","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"大主题","1","大主题","1","特定主题专利分享-大主题","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","否","长尾/视图字段"
"大主题细分支","1","大主题细分支","1","特定主题专利分享-大主题","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","否","长尾/视图字段"
"完成时间","1","完成时间","1","月度个人事务管理","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"完整检索策略","1","完整检索策略思路","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"实际耗时","1","耗时","1","个人事务管控表","WorkItem / Worklog","度量","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"对比文件特征对照","1","对比文件揭示特征对照","1","风险专利/前案检索特征比对表","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"工时计划与登记","1","工时计划与登记","1","个人事务管控表","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"待检方案图","1","待检方案图","1","风险专利/前案检索特征比对表","ClaimAnalysis / Evidence / TechnicalFeature","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","否","长尾/视图字段"
"待检方案特征对照","1","待检方案特征对照","1","风险专利/前案检索特征比对表","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"所涉及的方案","1","所涉及的方案","1","检索沟通记录","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"技术细分支","1","技术细分支","1","技术主题专利调查表","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"排查思路","1","排查思路","1","检索沟通记录","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"接收时间","1","接收时间","1","月度个人事务管理","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"揭示特征总结","1","揭示特征总结","1","专利性文件清单","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"方案相关的背景","1","方案相关的背景","1","检索沟通记录","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"是否召开过风险评估会","1","是否召开过风险评估会","1","NEW项目风险会召开情况","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","否","长尾/视图字段"
"是否申请专利","1","是否申请专利","1","IP事务管控表之风险管控表","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"权利要求要素拆解","1","风险专利单条权利要求拆解要素1-N及其翻译","1","风险专利/前案检索特征比对表","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"权利要求逐条分析","1","权利要求逐条分析","1","分析结论表","ClaimAnalysis / Evidence / TechnicalFeature","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"样机证据事宜","1","样机证据事宜","1","风险会风险统计表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索命中文献","1","检索式找到的相关的专利号","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索式","1","检索式","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索数据库/数据源","1","选用的数据库平台/查询的数据眼","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索时间","1","检索时间","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索流程编号","1","检索流程TC号","1","检索结果表","SearchCase / SearchStrategy / SearchRun","标识/主数据","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索用途","1","用途（专利性评价/侵权风险排查）","1","检索结果表","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","枚举：专利性/侵权风险/FTO/技术调查/其他","对应领域实体的结构化字段","否","长尾/视图字段"
"检索策略来源","1","检索策略来源","1","检索结果表","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索结果数量","1","检索结果数量","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","度量","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"检索要素","1","检索要素","1","检索策略记录","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"沟通人","1","沟通人","1","检索沟通记录","Meeting / Decision / Communication","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"沟通时间","1","本次沟通时间","1","检索沟通记录","Meeting / Decision / Communication","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"流程号","1","流程号","1","个人事务管控表","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"申请策略","1","申请策略","1","专利申请总表","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"继续历史产品具体方案点","1","继续历史产品具体方案点","1","IP事务管控表之风险管控表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"规避状态","1","规避状态","1","风险会风险统计表","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","状态机","当前快照字段 + 状态事件表（双层）","否","关系/事件字段"
"证据原文出处","1","揭示特征对应原文出处","1","专利性文件清单","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"证据附图","1","揭示处对应专利附图","1","专利性文件清单","ClaimAnalysis / Evidence / TechnicalFeature","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","否","长尾/视图字段"
"调查主题","1","调查主题","1","技术主题专利调查表","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"调查备注","1","调查备注","1","技术主题专利调查表","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","否","长尾/视图字段"
"问题专利结案与否","1","问题专利结案与否","1","IP事务管控表之风险管控表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"项目","1","项目号-项目名称","1","个人事务管控表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"项目阶段方案变动点","1","项目阶段方案变动点","1","IP事务管控表之风险管控表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"预计出货时间","1","预计出货时间","1","项目进程表","Project / ProjectSolutionVersion","外部/业务事实","项目/研发/产品团队反馈","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"预计耗时","1","预计完成耗时","1","待完成的任务","WorkItem / Worklog","度量","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"预计销量","1","预计销量","1","IP事务管控表之风险管控表","Project / ProjectSolutionVersion","度量","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"风险专利权利要求","1","风险专利权利要求内容","1","风险专利/前案检索特征比对表","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"风险分析附件","1","报告号或风险相关附件","1","IP事务管控表之风险管控表","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","否","长尾/视图字段"
"风险处置情况","1","风险处置情况","1","项目风险情况","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"风险排查时间","1","风险排查时间","1","IP事务管控表之风险管控表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"风险排查项目阶段","1","风险排查项目阶段","1","IP事务管控表之风险管控表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
