"大类","来源表","序号","原始字段","归一化字段","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","使用层级","用途体系"
"年度半年度数据统计类","平台性风险管理及跟踪总表","1","风险专利号（含同族）","风险专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","2","风险国家","风险国家","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","3","风险专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","4","风险主题","风险主题","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","5","风险等级","风险等级","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","中","AI可辅助，不得作为最终责任结论","枚举：无/低/中/高/关键（建议可配置）","对应领域实体的结构化字段","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","6","产品分类","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","7","技术模块分类","技术模块","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","8","发现原因","发现原因","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","9","处理方式","处理方式","RiskCase / RiskAssessment / Mitigation","业务事实/描述","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","10","专利跟踪负责人","专利跟踪负责人","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","11","分析报告","风险分析报告","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","12","跟踪状态","跟踪状态","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","状态机","当前快照字段 + 状态事件表（双层）","部门","风险"
"年度半年度数据统计类","平台性风险管理及跟踪总表","13","相关项目","关联项目","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","风险"
"对外","产品线季度类项目风险分享","1","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","产品线季度类项目风险分享","2","产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","产品线季度类项目风险分享","3","产品名称","产品名称","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","产品线季度类项目风险分享","4","产品图示","产品图示","Product / ProductCategory","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","对外","分享阐释"
"对外","产品线季度类项目风险分享","5","风险专利号（含同族）","风险专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","对外","分享阐释"
"对外","产品线季度类项目风险分享","6","风险主题","风险主题","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","产品线季度类项目风险分享","7","风险国家","风险国家","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","对外","分享阐释"
"对外","产品线季度类项目风险分享","8","风险专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","产品线季度类项目风险分享","9","处理方式","处理方式","RiskCase / RiskAssessment / Mitigation","业务事实/描述","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","1","专利号（同族靠近分组呈现）","专利号（同族靠近分组呈现）","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","对外","分享阐释"
"对外","特定主题专利分享-小主题","2","申请人（标准化）","标准申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","3","申请人（原始）","原始申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","4","独立权利要求","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","5","保护点概要","保护点概要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","6","实施例总结","实施例总结","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","7","一句话技术问题","技术问题摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","8","一句话技术方案","技术方案摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","9","一句话技术效果","技术效果摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","10","申请日","申请日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","11","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","12","法律状态","法律状态","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","对外","分享阐释"
"对外","特定主题专利分享-小主题","13","同族信息","同族信息","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","14","IPC分类号","IPC","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-小主题","15","附图","专利附图","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","对外","分享阐释"
"对外","特定主题专利分享-小主题","16","专利详情链接（商业数据库源）","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","对外","分享阐释"
"对外","特定主题专利分享-小主题","17","发明人","发明人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","1","大主题","大主题","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","对外","分享阐释"
"对外","特定主题专利分享-大主题","2","大主题细分支","大主题细分支","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","对外","分享阐释"
"对外","特定主题专利分享-大主题","3","专利号（同族靠近分组呈现）","专利号（同族靠近分组呈现）","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","对外","分享阐释"
"对外","特定主题专利分享-大主题","4","申请人（标准化）","标准申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","5","申请人（原始）","原始申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","6","独立权利要求","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","7","保护点概要","保护点概要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","8","实施例总结","实施例总结","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","9","一句话技术问题","技术问题摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","10","一句话技术方案","技术方案摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","11","一句话技术效果","技术效果摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","12","申请日","申请日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","13","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","14","法律状态","法律状态","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","对外","分享阐释"
"对外","特定主题专利分享-大主题","15","同族信息","同族信息","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","16","IPC分类号","IPC","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","特定主题专利分享-大主题","17","附图","专利附图","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","对外","分享阐释"
"对外","特定主题专利分享-大主题","18","专利详情链接（商业数据库源）","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","对外","分享阐释"
"对外","特定主题专利分享-大主题","19","发明人","发明人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","对外","分享阐释"
"对外","竞争对手技术路线表","1","专利号（同族选代表）","专利号（同族选代表）","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门/对外","分享阐释"
"对外","竞争对手技术路线表","2","专利详情链接（商业数据库源）","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门/对外","分享阐释"
"对外","竞争对手技术路线表","3","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门/对外","分享阐释"
"对外","竞争对手技术路线表","4","保护点概要","保护点概要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门/对外","分享阐释"
"对外","竞争对手技术路线表","5","实施例总结","实施例总结","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门/对外","分享阐释"
"单一项目管控类","IP事务管控表之风险管控表","1","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","2","产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","3","产品名称","产品名称","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","4","产品类型","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","5","项目负责人","项目负责人","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","6","项目管理","项目管理","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","7","产品经理","产品经理","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","8","出货地区","出货地区","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","9","结构电子项目类型","研发专业/项目等级","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","10","继承历史产品型号","继承产品型号","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","11","继续历史产品具体方案点","继续历史产品具体方案点","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","12","项目当前阶段","项目阶段","Project / ProjectSolutionVersion","当前状态快照（应有事件历史）","项目/研发/产品团队反馈","高变化/事件驱动","普通变更历史","中","可选AI辅助","项目阶段状态机","当前快照字段 + 状态事件表（双层）","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","13","所涉风险主题","风险主题","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","14","风险排查项目阶段","风险排查项目阶段","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","15","风险排查时间","风险排查时间","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","16","关注等级","风险等级","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","中","AI可辅助，不得作为最终责任结论","枚举：无/低/中/高/关键（建议可配置）","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","17","风险专利号","风险专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","18","风险专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","19","是否冲突","是否冲突","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","三值：是/否/待定","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","20","采用状态","采用状态","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","枚举：未采用/拟采用/已采用/已规避/已取消","当前快照字段 + 状态事件表（双层）","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","21","风险结论详情","风险结论","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","22","应对措施","应对措施","RiskCase / RiskAssessment / Mitigation","业务事实/描述","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","23","问题专利结案与否","问题专利结案与否","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","24","报告号或风险相关附件","风险分析附件","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","25","是否申请专利","是否申请专利","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","26","产品定义背景","产品定义背景","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
